ResponseID,Shortcode,Form,Submitter,DateSubmitted,GroupNum1,ItemNum1,GroupName,GroupLevel,IntegerQ1,IntegerQ3,IntegerQ5,IntegerQ8,SelectMultipleQ4,SelectOneQ7:Country,SelectOneQ7:City,SelectOneQ7:Latitude,SelectOneQ7:Longitude,TextQ2,TextQ6
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00-06,,,,0,1,,2,,,,,,,,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00-06,2,1,Fruit,1,1,1,2,,Cat;Dog,,,,,Apple,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00-06,2,2,Fruit,1,1,2,2,,Cat,,,,,Banana,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00-06,4,1,Vegetable,1,1,,2,3,,Ghana,Accra,5.550000,0.200000,,Asparagus
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00-06,,,,0,3,,4,,,,,,,,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00-06,2,1,Fruit,1,3,10,4,,Dog,,,,,Xigua,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00-06,2,2,Fruit,1,3,9,4,,Cat;Dog,,,,,Yuzu,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00-06,2,3,Fruit,1,3,8,4,,Cat,,,,,Ugli,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00-06,4,1,Vegetable,1,3,,4,7,,Canada,Calgary,51.045000,-114.057222,,Zucchini
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00-06,4,2,Vegetable,1,3,,4,6,,Canada,Ottawa,45.429299,-75.629883,,Yam
