ID,Shortcode,Form,Submitter,DateSubmitted,GroupName,GroupLevel,Group1,ItemNum1,Group2,ItemNum2,IntegerQ1,Fruit:TextQ2,Fruit:IntegerQ3,Fruit:SelectMultipleQ4,IntegerQ5,Vegetable:TextQ6,Vegetable:SelectOneQ7:Country,Vegetable:SelectOneQ7:City,Vegetable:SelectOneQ7:Latitude,Vegetable:SelectOneQ7:Longitude,Vegetable:IntegerQ8
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 CST,,0,,,,,1,,,,2,,,,,,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 CST,Fruit,1,2,1,,,1,Apple,1,Cat;Dog,2,,,,,,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 CST,Fruit,1,2,2,,,1,Banana,2,Cat,2,,,,,,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 CST,Vegetable,1,3,1,,,1,,,,2,Asparagus,Ghana,Accra,5.55,0.2,3
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 CST,Seed,2,3,1,4,1,1,,,,2,Asparagus,Ghana,Accra,5.55,0.2,3
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 CST,Seed,2,3,1,4,2,1,,,,2,Asparagus,Ghana,Accra,5.55,0.2,3
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 CST,,0,,,,,3,,,,4,,,,,,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 CST,Fruit,1,2,1,,,3,Xigua,10,Dog,4,,,,,,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 CST,Pulp,2,2,1,5,1,3,Xigua,10,Dog,4,,,,,,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 CST,Fruit,1,2,2,,,3,Yuzu,9,Cat;Dog,4,,,,,,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 CST,Pulp,2,2,2,5,1,3,Yuzu,9,Cat;Dog,4,,,,,,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 CST,Fruit,1,2,3,,,3,Ugli,8,Cat,4,,,,,,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 CST,Vegetable,1,3,1,,,3,,,,4,Zucchini,Canada,Calgary,51.045,-114.057222,7
*id2*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 CST,Seed,2,3,1,4,1,1,,,,2,Asparagus,Ghana,Accra,5.55,0.2,3
*id2*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 CST,Seed,2,3,1,4,2,1,,,,2,Asparagus,Ghana,Accra,5.55,0.2,3
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 CST,Vegetable,1,3,2,,,3,,,,4,Yam,Canada,Ottawa,45.429299,-75.629883,6
*id2*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 CST,Seed,2,3,2,4,1,1,,,,2,Asparagus,Ghana,Accra,5.55,0.2,3
*id2*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 CST,Seed,2,3,2,4,2,1,,,,2,Asparagus,Ghana,Accra,5.55,0.2,3
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,IDS OF THE PARENT QING GROUPS,,,,,,,,,,,,,,
