ResponseID,Shortcode,Form,Submitter,DateSubmitted,Reviewed,GroupName,GroupLevel,DecimalQ5,IntegerQ1,IntegerQ3,IntegerQ6,IntegerQ9,SelectMultipleQ4,SelectOneQ8:Country,SelectOneQ8:City,SelectOneQ8:Latitude,SelectOneQ8:Longitude,TextQ2,TextQ7
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 -0600,false,,0,,1,,2,,,,,,,,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 -0600,false,Fruit,1,,1,1,2,,Cat;Dog,,,,,Apple,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 -0600,false,Slice,2,1.65,1,1,2,,Cat;Dog,,,,,Apple,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 -0600,false,Slice,2,1.3,1,1,2,,Cat;Dog,,,,,Apple,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 -0600,false,Fruit,1,,1,2,2,,Cat,,,,,Banana,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 -0600,false,Slice,2,1.27,1,2,2,,Cat,,,,,Banana,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 -0600,false,Slice,2,1.77,1,2,2,,Cat,,,,,Banana,
*id1*,*shortcode1*,Sample Form 1,A User 1,2015-11-20 06:30:00 -0600,false,Vegetable,1,,1,,2,3,,Ghana,Accra,5.55,0.2,,Asparagus
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 -0600,false,,0,,3,,4,,,,,,,,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 -0600,false,Fruit,1,,3,10,4,,Dog,,,,,Xigua,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 -0600,false,Fruit,1,,3,9,4,,Cat;Dog,,,,,Yuzu,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 -0600,false,Slice,2,1.52,3,9,4,,Cat;Dog,,,,,Yuzu,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 -0600,false,Fruit,1,,3,8,4,,Cat,,,,,Ugli,
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 -0600,false,Vegetable,1,,3,,4,7,,Canada,Calgary,51.045,-114.057222,,Zucchini
*id2*,*shortcode2*,Sample Form 1,A User 2,2015-11-20 06:40:00 -0600,false,Vegetable,1,,3,,4,6,,Canada,Ottawa,45.429299,-75.629883,,Yam
